rainfall_1h,rainfall_3h,rainfall_6h,soil_moisture,slope,elevation,river_level,temperature,flood
30.25,42.26,79.19,38.62,5.89,116.45,3.9,33.68,1
14.85,19.0,37.01,33.67,2.25,67.65,2.84,36.41,1
4.86,33.34,61.77,26.38,2.61,35.92,3.49,25.8,0
2.95,15.57,46.84,26.38,12.56,44.59,4.79,32.53,0
11.18,28.58,52.37,28.46,7.71,65.12,2.66,32.27,0
19.69,60.24,67.95,28.37,5.42,23.41,4.33,29.18,0
30.61,51.82,62.65,25.02,10.95,66.78,0.2,27.96,1
14.35,41.23,60.25,42.65,0.6,85.16,2.56,31.31,1
5.9,22.34,37.99,24.63,13.54,8.88,0.2,31.68,0
16.69,47.81,105.18,31.79,2.39,26.22,7.46,27.74,1
13.73,19.01,30.01,31.51,11.59,93.19,4.04,24.58,0
5.94,8.8,13.16,18.92,6.63,73.89,0.37,26.28,0
13.3,17.98,55.26,39.21,7.95,46.53,2.17,28.47,0
13.04,24.26,60.66,37.54,13.97,58.53,1.58,25.97,0
4.82,31.67,49.5,36.85,9.07,53.03,2.9,20.54,0
1.89,11.86,31.0,21.85,15.82,149.46,2.28,23.81,0
11.85,38.09,80.98,33.26,8.58,20.68,2.4,20.63,1
0.0,18.16,28.17,34.11,6.75,119.92,2.69,31.05,0
0.0,63.61,94.37,25.7,6.68,72.2,2.64,26.32,0
8.19,26.78,58.68,37.4,3.9,148.76,2.6,21.89,0
11.5,20.49,57.5,34.39,21.64,92.8,3.63,28.29,0
8.11,32.33,81.97,49.62,8.34,78.57,2.79,20.59,0
9.26,26.34,42.66,17.44,11.76,53.47,0.2,30.07,0
11.28,16.58,54.9,29.27,6.99,52.35,2.94,28.35,0
25.08,39.16,68.25,37.07,17.59,196.59,3.09,33.98,0
14.61,28.44,38.26,42.65,8.43,19.0,5.67,32.2,0
14.15,28.7,91.47,46.52,2.48,30.5,5.65,34.83,1
7.41,13.11,36.89,25.14,1.89,114.56,2.97,29.13,0
7.78,64.94,87.92,40.73,5.46,89.53,2.61,28.58,0
4.21,7.47,35.27,38.63,9.21,258.94,2.15,27.23,0
8.93,50.04,81.14,45.42,6.5,36.63,2.19,30.46,1
0.0,15.81,71.97,47.4,4.98,60.66,3.8,25.22,0
25.18,31.97,65.81,25.62,10.18,146.72,1.66,21.35,0
0.49,51.3,100.16,58.04,5.41,81.05,6.19,29.17,0
14.58,14.94,31.88,21.93,4.48,147.91,2.36,27.82,0
22.32,29.03,37.77,33.12,4.38,35.2,2.76,23.6,0
14.54,27.82,42.12,26.7,2.19,87.88,2.18,27.84,0
45.19,52.89,74.28,36.28,4.14,18.12,1.93,31.12,1
0.0,14.69,26.99,26.39,5.28,163.09,2.69,29.25,0
2.22,27.52,58.1,49.76,7.54,71.42,0.2,26.8,0
21.97,26.27,72.94,25.47,8.74,89.97,3.03,25.22,1
0.0,19.42,55.95,17.69,1.84,40.3,4.26,35.83,0
0.6,27.8,86.34,29.55,9.64,75.76,4.44,25.56,0
10.49,15.33,33.71,21.09,6.71,152.93,3.14,26.47,0
5.8,23.96,80.36,42.54,4.5,26.33,4.56,27.08,0
9.76,23.48,65.83,33.8,6.61,200.61,3.09,31.93,0
6.53,12.51,40.92,34.67,5.97,79.93,2.39,20.21,0
7.38,13.96,22.89,31.17,15.87,34.16,2.26,25.28,0
0.98,7.64,34.95,23.11,12.2,36.9,1.45,24.32,0
7.07,17.39,43.98,25.89,5.12,86.73,0.38,34.64,0
2.59,13.04,107.97,32.15,6.63,38.73,3.45,14.45,0
3.39,45.61,80.18,44.18,4.65,116.08,4.88,16.57,0
14.37,34.93,41.77,19.83,16.07,70.6,1.67,21.97,0
0.0,21.05,74.81,18.16,15.35,187.6,2.04,27.13,0
0.0,17.4,50.28,26.08,14.17,85.46,2.7,30.86,0
13.29,31.9,77.93,50.38,15.13,127.69,4.04,24.42,1
7.08,29.28,69.45,28.04,6.66,65.77,3.54,21.22,0
22.3,27.46,81.58,36.02,21.34,20.78,2.66,30.4,0
0.7,14.95,73.67,26.41,10.16,54.51,6.61,22.68,0
4.58,11.45,104.05,28.32,11.88,18.94,4.11,21.53,0
6.13,38.61,93.11,31.73,14.68,58.4,6.32,24.79,1
1.5,10.97,30.2,33.98,1.47,80.71,4.97,16.91,0
0.23,22.67,31.28,13.7,9.57,34.64,1.54,28.04,0
14.01,39.67,49.91,46.95,7.57,31.23,5.08,26.29,1
0.0,19.59,33.25,14.81,15.25,149.98,1.61,14.33,0
0.0,17.95,38.22,23.47,20.13,16.2,0.8,24.61,0
4.33,20.07,31.95,19.57,4.37,175.76,1.89,25.13,0
15.78,42.39,68.38,30.48,11.66,96.96,2.62,21.65,0
1.81,9.21,22.87,42.83,5.85,16.86,2.14,15.3,0
1.21,22.03,54.12,30.17,5.89,8.35,3.75,27.98,0
3.92,6.11,38.52,26.57,13.58,25.89,2.31,23.06,0
8.7,17.76,38.05,36.37,3.72,33.65,3.0,29.92,0
2.9,13.07,109.9,33.78,17.32,53.53,5.54,23.68,0
17.9,21.54,69.25,36.38,6.02,43.45,4.33,26.38,1
18.65,36.63,72.48,49.26,10.21,95.27,3.5,20.41,1
4.33,12.23,82.47,44.17,15.1,30.22,5.58,33.25,0
35.38,72.79,98.2,43.39,7.7,55.57,4.46,25.81,1
5.93,18.65,56.99,36.43,8.24,44.91,3.99,18.04,0
18.04,43.23,107.31,36.78,6.16,56.93,3.87,24.53,1
8.41,41.4,164.94,39.24,3.07,83.21,5.29,21.34,0
8.21,31.06,43.68,37.8,3.52,62.17,3.06,28.88,0
0.0,11.18,24.79,28.1,8.06,102.98,0.55,32.64,0
0.0,15.67,90.99,45.5,5.46,97.42,3.5,28.94,0
3.21,6.89,40.47,45.8,5.14,20.1,2.5,30.96,0
18.51,44.02,70.53,48.9,1.23,83.59,2.35,22.84,1
8.56,39.58,74.64,36.81,6.96,36.25,3.73,26.34,0
3.27,14.01,93.27,41.69,12.36,83.29,3.3,27.7,0
11.62,23.3,71.64,27.08,13.6,82.78,4.76,27.55,0
17.84,49.86,85.17,32.33,8.56,32.52,4.23,21.23,1
5.4,9.79,22.96,24.58,11.82,66.25,0.51,19.59,0
7.32,15.6,43.36,35.24,14.35,57.03,4.26,20.26,0
6.12,15.1,59.4,31.63,5.2,99.6,3.91,30.09,0
4.9,6.9,38.93,32.79,8.58,83.35,1.52,28.43,0
0.66,22.34,120.75,41.36,11.59,99.75,6.03,29.31,1
0.37,11.26,49.84,26.03,4.45,78.81,3.25,21.39,0
11.54,22.51,48.64,38.14,9.11,14.62,4.68,28.72,0
18.18,35.49,87.9,41.47,4.07,102.46,2.5,29.37,1
3.26,6.27,110.59,36.31,2.1,72.28,6.07,18.95,0
3.11,17.59,90.25,42.6,8.97,355.98,2.67,24.12,0
0.0,2.95,9.94,22.1,8.48,100.11,1.1,26.07,0
22.96,44.6,85.35,46.49,6.63,120.03,3.11,33.01,1
0.91,36.1,83.06,52.24,2.51,119.8,4.21,31.15,0
1.76,27.16,106.76,37.45,1.58,67.34,4.18,38.39,0
9.48,18.6,30.11,32.18,7.64,34.11,2.86,26.15,1
9.82,33.14,78.05,42.02,7.04,71.99,4.73,14.82,0
3.19,15.55,27.78,28.13,12.04,83.09,1.88,30.58,0
4.67,21.25,25.22,21.37,2.38,45.3,2.51,18.17,1
8.52,30.83,48.78,33.59,4.39,11.4,1.17,29.64,0
1.05,1.32,43.63,37.74,0.93,30.05,2.15,25.44,0
28.15,30.42,105.95,28.34,8.82,51.25,3.46,25.17,1
0.24,13.39,30.42,27.3,5.62,317.46,0.64,25.95,0
3.9,11.15,28.27,38.6,6.9,42.33,2.25,24.29,0
2.31,17.15,53.61,42.0,12.17,413.73,4.95,16.78,0
6.47,23.49,60.35,22.72,2.09,62.62,2.66,33.53,1
26.83,36.02,67.62,21.79,4.98,49.48,1.33,29.72,0
0.05,11.43,21.49,38.26,2.66,46.37,0.65,24.99,0
9.68,15.38,30.11,12.79,14.26,103.42,3.07,31.51,0
11.85,30.59,116.74,36.8,5.64,37.16,5.94,27.01,0
19.2,46.99,111.48,50.27,16.06,57.78,5.66,34.72,1
0.63,3.77,27.71,40.99,9.29,25.86,2.84,36.47,0
0.47,27.2,69.56,26.64,13.5,23.16,2.61,24.96,0
3.99,24.72,71.68,38.86,4.7,99.05,2.44,29.48,0
4.13,29.37,60.14,44.91,17.6,15.48,2.69,31.91,0
0.0,35.8,40.18,27.99,4.27,37.7,1.8,36.34,0
12.16,21.36,68.43,31.5,1.32,83.05,3.56,18.17,0
10.87,42.84,47.78,47.73,1.93,40.04,5.72,26.38,0
37.44,73.66,85.82,37.24,4.81,42.0,1.72,23.86,1
3.12,6.75,70.13,15.31,6.17,162.65,4.27,22.66,0
0.0,17.07,35.8,31.95,8.75,116.92,3.73,30.16,0
0.23,16.75,41.94,36.61,10.78,155.62,1.93,23.01,0
8.42,46.28,56.82,43.72,7.19,31.53,3.51,35.47,0
0.72,78.64,89.3,45.65,1.18,101.53,1.33,34.55,0
13.15,38.61,87.65,42.67,6.96,58.18,4.53,26.66,0
1.22,59.31,94.77,32.62,15.33,16.07,4.14,18.21,0
6.99,14.66,49.62,46.93,11.03,33.76,4.25,20.39,0
4.81,28.49,77.87,36.26,15.6,325.83,2.09,33.91,0
0.19,14.76,28.76,36.99,20.18,36.8,2.0,25.97,0
0.0,22.0,45.6,40.1,1.15,134.01,2.91,37.52,1
20.89,46.68,60.41,40.12,2.97,80.16,2.04,32.71,0
8.72,37.92,56.41,30.61,14.14,22.96,1.89,42.68,0
0.0,11.55,27.06,42.11,9.21,218.92,3.1,35.64,0
0.0,13.49,56.78,35.0,4.32,84.68,4.86,32.5,1
36.5,63.98,140.0,49.99,13.72,48.93,6.24,25.2,1
0.43,20.07,33.28,37.63,4.32,170.64,1.79,30.7,0
7.57,15.99,64.47,34.56,4.38,19.33,3.95,26.35,0
0.0,13.82,84.83,48.09,20.4,45.39,5.02,34.65,0
2.41,36.11,52.13,36.43,7.9,125.02,5.31,20.46,0
14.14,20.43,42.37,28.37,10.96,97.36,2.17,23.83,0
0.0,15.07,43.37,36.93,7.52,111.0,3.1,32.54,0
1.58,5.8,75.57,28.16,8.52,96.18,2.19,22.66,0
1.34,37.23,99.49,42.46,3.23,64.24,3.43,31.77,0
10.69,91.36,91.57,37.7,4.26,28.89,2.88,30.22,1
9.63,52.65,77.64,44.0,24.86,33.88,3.29,28.54,1
10.65,20.42,56.75,40.95,16.15,98.78,3.42,33.88,0
7.43,17.15,58.26,28.94,21.55,30.32,0.96,23.56,0
9.61,44.11,87.4,31.75,20.0,18.42,4.33,23.83,1
0.0,31.41,70.48,48.77,2.83,144.75,2.7,30.0,0
7.5,23.22,94.34,54.94,2.23,753.16,6.02,24.09,0
24.6,29.99,43.5,55.39,1.87,46.58,3.14,23.81,1
5.61,21.65,57.38,30.69,3.46,27.57,4.64,31.87,0
1.37,15.47,59.23,29.28,9.13,216.13,2.65,35.25,1
1.81,71.0,90.14,30.21,5.33,43.32,5.02,25.03,1
22.94,49.0,75.55,35.47,25.39,57.17,4.12,30.88,1
51.69,53.98,56.79,20.43,4.7,11.56,1.72,28.19,1
0.0,26.84,42.42,27.83,8.75,17.31,6.0,28.15,0
3.26,39.42,46.59,33.44,4.94,72.99,2.91,26.57,0
0.0,32.14,62.45,20.01,3.89,39.76,1.24,27.18,0
10.49,41.24,63.17,36.24,3.57,27.37,3.34,29.7,0
6.84,26.2,51.67,42.95,2.33,83.81,2.06,25.43,0
4.25,17.77,66.22,38.85,22.01,48.94,2.41,33.02,0
0.0,5.05,21.31,35.61,4.72,51.1,0.2,24.47,0
2.61,52.46,108.47,35.08,12.62,121.32,2.91,30.15,1
4.02,28.31,75.03,22.84,9.77,53.08,1.78,32.26,0
0.0,9.97,31.84,39.87,20.42,29.05,2.75,27.78,0
8.27,25.96,50.33,35.79,0.2,116.19,3.25,25.11,0
6.89,11.99,72.29,35.1,14.3,63.28,2.0,25.16,0
3.02,20.58,41.48,31.31,18.3,37.32,0.24,24.86,0
5.21,45.23,74.83,27.42,2.86,107.92,3.59,27.07,0
2.9,29.83,53.56,36.4,3.21,23.83,2.47,24.95,0
0.0,35.25,103.35,44.09,12.4,47.15,3.92,25.73,0
10.01,43.34,80.16,40.21,6.07,46.7,4.84,24.39,0
7.8,30.51,65.16,31.37,2.56,222.71,4.22,22.12,0
0.0,14.31,65.72,39.21,0.82,178.05,4.3,36.17,0
8.57,20.33,31.11,32.82,12.61,45.73,3.42,17.53,0
8.95,56.33,85.44,41.25,3.01,163.09,5.56,29.58,1
8.98,33.93,71.79,36.05,2.6,56.35,3.63,21.69,0
14.2,37.73,50.37,32.31,2.36,100.95,4.33,28.06,0
20.95,45.8,108.85,39.93,14.22,40.61,4.44,28.99,0
2.35,15.18,53.16,34.33,4.87,168.53,1.99,22.5,0
13.84,36.28,64.19,22.04,2.39,219.24,4.06,23.29,1
2.21,11.3,23.63,29.05,6.32,49.11,1.06,26.35,0
8.21,19.05,37.5,29.08,15.14,104.0,4.32,23.92,0
16.13,43.92,58.12,48.84,7.44,282.16,5.65,26.6,0
0.47,24.75,61.59,25.07,7.31,175.73,4.01,27.04,0
0.0,6.93,86.12,26.99,2.97,54.87,4.68,23.58,0
0.14,7.36,33.85,24.34,9.6,25.7,3.01,31.4,0
18.63,51.43,121.65,46.81,19.1,178.46,5.4,30.77,1
0.0,9.43,74.08,34.6,9.64,32.62,5.13,23.2,0
17.61,33.4,64.25,19.64,3.07,42.52,4.5,20.62,0
0.15,0.76,20.53,16.48,4.2,59.33,0.33,33.72,0
3.69,9.59,24.77,38.99,0.95,31.14,0.47,16.89,0
5.24,15.63,19.23,45.77,7.65,249.7,0.2,22.94,0
0.0,11.54,52.38,38.29,6.48,55.1,4.12,32.47,0
3.77,27.38,77.13,35.82,1.96,34.45,3.19,28.57,1
0.0,2.28,35.8,32.63,11.77,170.77,2.16,32.79,0
2.85,82.01,107.28,35.17,3.58,53.77,5.91,33.65,1
4.6,32.49,118.48,55.6,4.26,35.53,5.78,23.64,1
0.11,10.54,56.07,48.1,0.97,42.02,4.95,31.01,0
7.9,27.91,65.3,28.8,3.2,70.68,2.19,27.64,0
0.0,19.69,27.24,33.7,6.21,126.81,2.23,23.13,0
9.63,11.82,41.49,27.53,1.32,303.98,3.52,24.69,0
10.78,51.74,78.12,42.58,3.75,154.99,5.13,22.87,0
7.85,16.5,40.75,28.71,12.79,73.93,3.7,29.85,0
13.66,26.22,69.13,29.28,4.94,151.18,5.83,20.73,0
0.0,11.46,40.72,33.62,17.53,127.75,2.77,21.99,0
16.88,33.78,124.1,32.41,2.63,66.33,4.28,31.49,0
0.0,25.79,51.46,32.97,2.84,34.99,2.43,31.0,0
6.19,28.59,58.54,32.18,3.6,48.19,3.37,24.19,0
31.81,38.99,110.91,48.32,6.22,72.47,2.94,30.12,1
2.72,12.95,20.91,30.21,17.64,82.72,3.24,27.18,0
5.44,35.02,45.49,32.53,4.42,89.7,4.11,20.97,0
0.0,34.95,45.3,40.28,0.91,9.61,3.63,22.85,0
31.53,35.86,97.9,47.75,6.93,69.41,3.53,26.7,1
0.12,3.81,35.87,38.38,9.55,146.61,3.37,38.1,0
11.88,60.33,164.06,41.87,22.11,129.33,5.8,29.8,1
20.92,26.05,66.7,41.69,9.19,21.94,5.09,32.91,0
13.16,21.16,50.62,46.92,10.5,89.2,2.29,17.89,0
8.48,21.34,27.73,14.56,3.36,84.14,3.31,25.09,0
6.05,13.76,24.47,17.69,8.04,56.86,1.45,23.1,0
0.0,8.15,27.7,45.88,10.88,64.42,1.4,29.54,0
30.29,38.47,151.96,53.08,1.96,110.44,5.08,26.93,1
7.63,26.01,55.56,28.36,8.38,16.85,3.23,18.74,1
5.45,8.33,75.68,25.94,5.94,87.09,2.96,33.78,0
0.0,29.59,53.51,27.67,9.81,62.67,3.71,25.13,0
5.85,9.56,12.7,8.42,11.38,100.15,0.49,28.58,0
4.94,49.55,62.08,37.88,13.23,47.81,1.87,38.08,0
31.81,42.4,70.19,44.3,9.62,47.22,3.75,28.18,0
5.44,15.21,48.98,45.18,9.27,51.28,3.46,20.86,0
5.72,7.88,63.05,18.54,13.02,28.88,1.6,26.48,0
0.0,1.88,11.41,31.86,12.74,44.75,0.82,28.98,0
0.8,16.12,40.97,32.24,12.04,63.91,4.54,28.07,0
10.34,12.46,38.3,37.85,4.38,72.08,2.8,26.36,0
0.0,7.87,15.71,5.74,2.14,18.37,0.2,35.2,0
16.79,41.54,50.05,32.73,11.08,19.74,4.39,19.12,1
17.25,35.24,46.27,22.59,9.78,82.26,4.04,42.13,1
0.4,12.26,36.36,21.05,7.35,42.61,2.82,30.5,0
8.52,25.07,35.07,46.9,6.42,92.17,0.71,32.16,0
21.58,46.79,75.98,52.14,7.99,32.96,4.47,30.27,1
4.33,14.67,72.17,38.29,6.03,259.02,4.38,24.55,0
3.05,32.01,41.45,13.46,7.73,105.59,1.77,29.27,0
3.83,19.13,106.34,35.92,6.44,155.62,4.48,24.66,0
7.6,41.5,66.13,51.94,4.28,52.79,2.03,32.82,1
1.33,17.75,69.95,34.41,4.2,51.82,3.66,26.59,0
2.54,6.28,35.18,20.18,7.09,128.08,1.71,29.71,0
7.8,15.49,32.73,31.48,11.01,29.96,1.6,27.24,0
2.09,16.84,30.41,29.04,15.08,75.35,3.44,23.29,0
0.0,78.04,99.63,31.1,2.94,100.46,3.17,31.77,0
5.6,12.74,31.54,24.16,2.94,19.92,0.73,29.52,0
